time,open,high,low,close,EMA,Volume
2016-07-11,7111.64990234,7156.75,7110.39990234,7151.35009766,6749.359172801529,817870976
2016-07-12,7179.5,7195.10009766,7158.20019531,7192.25,6763.199511151482,1126578944
2016-07-13,7208.89990234,7213.10009766,7161.04980469,7177,6776.130776427998,1199186048
2016-07-14,7178.39990234,7218.25,7169.64990234,7215.35009766,6789.856380216498,914641024
2016-07-15,7223.60009766,7245.04980469,7181.5,7194.39990234,6802.498365282858,938742976
2016-07-18,7214.29980469,7232,7154.54980469,7162.25,6813.740603867768,912136000
2016-07-19,7169.25,7186.20019531,7134.54980469,7178.20019531,6825.129966100338,886824000
2016-07-20,7174,7222.75,7174,7221.29980469,6837.510273556265,782366976
2016-07-21,7241.85009766,7243.70019531,7182.64990234,7186.70019531,6848.4224586110695,1027550016
2016-07-22,7197,7230.10009766,7173.89990234,7227.45019531,6860.267075382911,865433984
2016-07-25,7222.54980469,7307.60009766,7222.54980469,7305.60009766,6874.183732329069,887788992
2016-07-26,7309.10009766,7320.79980469,7259.89990234,7270,6886.552990693785,1062230976
2016-07-27,7282.5,7328.14990234,7258,7297.89990234,6899.40758168273,966712000
2016-07-28,7315.70019531,7343.79980469,7309.95019531,7338.64990234,6913.13390420327,1252334976
2016-07-29,7344.5,7357.45019531,7324.39990234,7330,6926.160969696917,885873024
2016-08-01,7350.25,7395,7292.35009766,7335.04980469,6938.938745790451,923438976
2016-08-02,7346.14990234,7372.35009766,7306.75,7310.89990234,6950.562531932625,858352000
2016-08-03,7321.54980469,7321.54980469,7220.64990234,7232.79980469,6959.382446706292,781003008
2016-08-04,7281.70019531,7281.70019531,7215.39990234,7248.54980469,6968.418926643283,742043008
2016-08-05,7289.54980469,7368.20019531,7289.54980469,7364.04980469,6980.782391582243,801980992
2016-08-08,7391.29980469,7406.39990234,7376.45019531,7398.25,6993.828254345298,709225024
2016-08-09,7411.89990234,7411.89990234,7337.85009766,7368.45019531,7005.535190000444,878566016
2016-08-10,7377.60009766,7377.60009766,7270.10009766,7277,7014.018465312931,804948992
2016-08-11,7277.64990234,7297.60009766,7237.89990234,7289.5,7022.627263271902,792478976
2016-08-12,7301,7357.29980469,7301,7347.45019531,7032.777979898093,785100032
2016-08-16,7350.60009766,7362.85009766,7305.45019531,7339.25,7042.355230526277,818302016
2016-08-17,7341.25,7368.25,7322.85009766,7343.70019531,7051.772260675769,781678016
2016-08-18,7364.64990234,7398.64990234,7364.64990234,7390.20019531,7062.348133633089,760771008
2016-08-19,7408.14990234,7413.29980469,7378.95019531,7397.79980469,7072.830998353617,794488000
2016-08-22,7400.60009766,7414,7354.14990234,7363.79980469,7081.923773551629,641974016
