time,open,high,low,close
2007-10-26,5478,5706.1,5478,5684
2007-10-29,5800,5914.45,5800,5907.15
2007-10-30,5892.5,5970.85,5825,5869.4
2007-10-31,5840.05,5940,5840,5890.15
2007-11-01,5980,5980,5790,5816.1
2007-11-02,5705.05,5952,5705.05,5932.7
2007-11-05,5899,5924.85,5800,5825.05
2007-11-06,5900,5949.8,5765.05,5800
2007-11-07,5850,5852,5740,5774.7
2007-11-08,5703.3,5722.95,5629,5684.3
2007-11-09,5680,5684.3,5562,5684.3
2007-11-12,5450,5631,5400,5617.5
2007-11-13,5534.9,5755,5534.9,5683.8
2007-11-14,5837,5936,5784.65,5925.2
2007-11-15,5920,5940,5875,5886.8
2007-11-16,5810,5925,5780,5881.65
2007-11-19,5915,5947.75,5885,5897.75
2007-11-20,5859.95,5909.5,5740,5765.55
2007-11-21,5721.1,5734,5500,5526
2007-11-22,5520,5592,5388.7,5517.6
2007-11-23,5462.4,5625,5462.4,5602.7
2007-11-26,5670,5761,5670,5721.15
2007-11-27,5670.05,5708.7,5644,5699.45
2007-11-28,5740,5740,5580.15,5608.05
2007-11-29,5646,5725,5646,5674.05
2007-11-30,5700,5810,5675,5792.7
2007-12-03,5812.35,5881,5805,5865.85
2007-12-04,5890,5904.5,5849,5869.1
2007-12-05,5870.1,5975,5870.1,5967.4
2007-12-06,6005,6040,5939,5966.7
2007-12-07,5982.35,6020,5899.9,5980.25
2007-12-10,5960.1,5989.9,5920,5964.75
2007-12-11,5995,6115,5980,6097.8
2007-12-12,6004,6190,6004,6177.25
2007-12-13,6140.2,6180,6042,6057.9
2007-12-14,6051,6095,6008,6059.15
2007-12-17,6006,6020,5726,5767.8
2007-12-18,5776,5840.25,5710,5769.05
2007-12-19,5805,5838,5676,5760.85
2007-12-20,5794.9,5818.9,5721,5776.7
2007-12-24,5849.8,6012,5827,6001.55
2007-12-26,6015.1,6118.6,6006,6104.1
2007-12-27,6110,6141.5,6097,6120.3
2007-12-28,6080,6127,6047.1,6119.75
2007-12-31,6147,6178.95,6123,6154.9
2008-01-01,6150,6179.95,6121,6156.4
2008-01-02,6149.1,6236,6060,6223
2008-01-03,6185.65,6227,6155,6178.2
2008-01-04,6205,6292.75,6203.1,6264.15
2008-01-07,6170,6296,6170,6288.2
2008-01-08,6307.8,6331.9,6214.25,6272.8
2008-01-09,6263.1,6336,6226.1,6264.4
2008-01-10,6279,6321.65,6141.1,6162
2008-01-11,6150.35,6225,6115.1,6203.6
2008-01-14,6205.35,6242.4,6171.25,6225
2008-01-15,6240,6245,6054.55,6071.4
2008-01-16,5984.8,5993.8,5831.6,5947.1
2008-01-17,5931,6045,5887,5931.75
2008-01-18,5862,5927.75,5700,5720
2008-01-21,5691,5691,4916,5197.85
2008-01-22,4925,4997.5,4420,4894.6
2008-01-23,5080,5337,4930,5166.9
2008-01-24,5272,5359,4957.75,5005.25
2008-01-25,5329,5406.9,5150,5404
2008-01-28,5412.25,5412.25,5045,5270.05
2008-01-29,5340,5393,5216,5277
2008-01-30,5152.5,5268.5,5128,5167
2008-01-31,5248.7,5253.6,5072,5137.45
2008-02-01,5121.85,5347.7,5060,5320.8
2008-02-04,5419,5553.9,5368.55,5454.9
2008-02-05,5432,5509.9,5422,5480.95
2008-02-06,5255,5344.8,5233.05,5296.75
2008-02-07,5278,5326.9,5083,5100
2008-02-08,5100,5149.4,4999,5085.9
2008-02-11,4990,5049,4735,4798.45
2008-02-12,4880,4919.7,4763,4791.65
2008-02-13,4860,4951,4810,4895.85
2008-02-14,5050,5190,5050,5175.4
2008-02-15,5120,5298.35,5105,5273.05
2008-02-18,5285,5295,5187,5253.95
2008-02-19,5300,5350,5225.5,5243.3
2008-02-20,5220,5220,5055,5102.4
2008-02-21,5162.2,5209,5060,5156
2008-02-22,5110.05,5110.05,5055.3,5072.2
2008-02-25,5109,5193.9,5017,5181.75
2008-02-26,5198,5262.5,5191,5250.35
2008-02-27,5355,5365,5215,5238.35
2008-02-28,5239,5277,5202.35,5254.75
2008-02-29,5225.1,5241,5052,5181.1
2008-03-04,4923.9,4934,4792.2,4834.75
2008-03-05,4836.35,4921,4825.2,4904.1
2008-03-07,4772,4798,4638,4706
2008-03-10,4651.25,4798,4596.3,4784.3
2008-03-11,4700,4872,4700,4856.55
2008-03-12,4985.55,4997,4855,4868.45
2008-03-13,4725,4738.95,4555.25,4597.3
2008-03-14,4600,4740,4575.15,4729.45
2008-03-17,4599.9,4599.9,4461,4485.9
2008-03-18,4470,4615,4465,4535.2
2008-03-19,4675,4710,4534,4552.9
2008-03-24,4600,4645,4551,4626.75
2008-03-25,4755,4910,4722.35,4890.35
2008-03-26,4915.05,4928,4819.6,4853.65
2008-03-27,4835,4885.5,4796.2,4853.2
2008-03-28,4885,4999.9,4806,4970.65
2008-03-31,4902.1,4924,4703.6,4732.3
2008-04-01,4766.1,4820,4621.1,4772.95
2008-04-02,4931,4964.7,4741.15,4757.65
2008-04-03,4779,4850,4745.55,4784.85
2008-04-04,4796.5,4809,4631.35,4652.7
2008-04-07,4684,4813.9,4656.25,4764.4
2008-04-08,4751.2,4770.05,4663.15,4694.85
2008-04-09,4687,4756.8,4658.25,4740.3
2008-04-10,4736,4795,4710,4714
2008-04-11,4759.75,4825,4726.7,4773
2008-04-15,4694.4,4937,4675,4897.15
2008-04-17,4952,4985,4920,4960.55
2008-04-21,5004,5052.9,5004,5043.45
2008-04-22,5015,5074,5003.15,5041
2008-04-23,5079.8,5084,5005.5,5035.3
2008-04-24,5064.9,5064.9,4991.1,4999.85
2008-04-25,5021.9,5133,5021.9,5125.75
2008-04-28,5141,5150,5084.1,5105.65
2008-04-29,5125.5,5237.9,5090.25,5218.45
2008-04-30,5224.5,5246.7,5178,5188.8
2008-05-02,5249,5267,5211.2,5246.5
2008-05-05,5250,5271.85,5188.15,5205.1
2008-05-06,5202.5,5210,5132.3,5175
2008-05-07,5141,5175,5110.25,5151.3
2008-05-09,5052,5100,4970.1,4989.7
2008-05-12,4985,5037,4923,5027.1
2008-05-13,5039.95,5080,4951,4966.45
2008-05-14,4944.5,5038.9,4932.5,5011
2008-05-15,5035,5122.25,5035,5116
2008-05-16,5142.1,5168.1,5100,5146
2008-05-20,5111.7,5132.9,5065.1,5097.1
2008-05-21,5036.4,5146.2,5036.4,5123.9
2008-05-22,5064,5068.8,5000.1,5017.9
2008-05-23,5015.25,5047,4932.2,4949
2008-05-26,4916.65,4916.65,4860,4874.8
2008-05-27,4900,4925,4828.1,4842.35
2008-05-28,4854.7,4940,4830.25,4933
2008-05-29,4952.2,4958.8,4825.1,4836.05
2008-05-30,4879,4923,4827.25,4848
2008-06-02,4878,4896.5,4693,4722.3
2008-06-03,4664,4716.8,4626.1,4707.1
2008-06-04,4701.2,4727.9,4550,4568.75
2008-06-05,4580.5,4695.7,4525,4679.1
2008-06-06,4708.7,4709.95,4591.05,4608.2
2008-06-09,4480,4540,4397.15,4466.6
2008-06-10,4437.8,4474,4332.2,4453
2008-06-11,4475,4550,4452.65,4496.4
2008-06-12,4385.2,4536.8,4375.05,4499
2008-06-13,4499,4519,4456.05,4482.2
2008-06-16,4555.3,4610,4548.05,4568
2008-06-17,4571,4647.5,4553.1,4639
2008-06-18,4651,4658,4556,4566.95
2008-06-19,4511.25,4524,4465.55,4490.85
2008-06-20,4512,4516.9,4316,4348
2008-06-23,4325,4390.5,4224,4267.65
2008-06-24,4281,4310.1,4130,4130.5
2008-06-25,4105,4262,4093.65,4244.4
2008-06-26,4261,4318.3,4225.25,4315.85
2008-06-27,4136.35,4178.5,4060,4078.55
2008-06-30,4078.8,4108.9,3959,3960
2008-07-01,3977,4037.7,3810,3832.55
2008-07-02,3835.3,4079,3818.1,4064.25
2008-07-03,4003.45,4020,3815,3879.6
2008-07-04,3886,3994.95,3858,3979.05
2008-07-07,3992.2,4076.9,3958.2,3980.5
2008-07-08,3869,3957,3841.1,3926.5
2008-07-09,4044,4149,4041,4137.9
2008-07-10,4125,4164.2,4086,4147
2008-07-11,4164,4192,3981,4021.2
2008-07-14,4009.8,4111.8,3991.25,4027.3
2008-07-15,3915,3940,3793.3,3828.9
2008-07-16,3835.5,3901.7,3761,3803.35
2008-07-17,3948,3960,3856.4,3932
2008-07-18,3951.1,4101,3907,4054
2008-07-21,4134,4174.5,4066.1,4170
2008-07-22,4131.65,4275.7,4131.65,4249.95
2008-07-23,4436.55,4505,4387.3,4490.7
2008-07-24,4520,4537.8,4395.05,4443.1
2008-07-25,4347.7,4392,4310.5,4329.65
2008-07-28,4305.55,4364.75,4305.55,4337.15
2008-07-29,4289,4289,4162.1,4187.65
2008-07-30,4242.15,4338.4,4237.35,4327.1
2008-07-31,4323.8,4346.8,4285.3,4332.15
2008-08-01,4270,4441.95,4252,4439
2008-08-04,4402,4448,4362.1,4405.45
2008-08-05,4379.9,4539.9,4370,4536
2008-08-06,4624.8,4629.85,4509,4526
2008-08-07,4490,4599,4485,4531.6
2008-08-08,4520,4564.2,4471,4548
2008-08-11,4610,4642,4588.05,4630.9
2008-08-12,4644,4654,4535,4567.2
2008-08-13,4511.6,4588.8,4505.25,4563.05
2008-08-14,4511.25,4523.9,4425.6,4438
